ID,Destination,Ticket price,Accessibility,Popularity,Safety,Privacy,Trust,Sustain
T001,Bali Beach Resort,Rp 1.800.000,4.5,4.7,4.2,4.8,4.5,4.6
T002,Borobudur Temple,Rp 1.500.000,4.1,4.6,4.9,4.4,4.8,4.2
T003,Mount Bromo,Rp 1.200.000,4.3,4.8,4.7,4.5,4.4,4.5
T004,Chatuchak Market,Rp 900.000,4.0,4.2,4.1,4.3,4.2,4.1
T005,Mariana Bay Sands,Rp 3.000.000,4.6,4.9,4.8,4.7,4.6,4.8
T006,Kyoto Temple,Rp 2.250.000,4.4,4.5,4.9,4.9,4.7,4.9
T007,Raja Ampat Islands,Rp 3.750.000,3.9,4.9,4.8,4.9,4.9,4.9
T008,Sentosa Island,Rp 2.700.000,4.5,4.8,4.6,4.6,4.8,4.7
T009,Langkawi Sky Bridge 9,Rp 1.145.762,4.5,4.0,4.3,4.0,4.4,4.6
T010,Mount Fuji Park 10,Rp 3.646.787,4.1,4.9,4.8,4.6,4.1,4.3
T011,Nusa Penida Beach 11,Rp 766.259,4.9,4.8,3.6,4.4,4.3,3.7
T012,Gili Islands 12,Rp 2.582.574,3.9,4.6,4.2,4.9,4.0,4.1
T013,Jeju Island 13,Rp 1.994.437,4.8,3.7,3.6,3.8,4.7,3.9
T014,Bromo View Point 14,Rp 4.186.556,3.9,3.7,4.3,3.7,4.4,4.4
T015,Bali Swing 15,Rp 3.865.626,4.7,4.6,4.6,4.6,3.6,5.0
T016,Jeju Island 16,Rp 4.991.925,4.3,4.8,4.4,4.5,4.0,4.2
T017,Komodo National Park 17,Rp 1.337.321,3.7,4.7,3.8,4.8,4.3,4.3
T018,Ha Long Bay 18,Rp 1.571.987,4.1,4.1,3.5,4.7,4.2,4.9
T019,Bali Swing 19,Rp 1.592.396,4.1,3.7,4.0,4.4,3.6,4.7
T020,Tokyo Tower 20,Rp 1.411.654,4.1,4.0,4.3,3.6,3.5,4.0
T021,Bangkok Night Market 21,Rp 1.847.789,4.7,4.8,4.6,4.6,3.7,3.8
T022,Gili Islands 22,Rp 1.144.655,4.0,4.6,4.5,4.8,4.5,3.8
T023,Lake Toba Resort 23,Rp 1.302.980,4.2,4.4,4.6,3.9,4.6,3.6
T024,Phuket Beach 24,Rp 3.050.913,4.9,4.2,4.8,4.9,3.8,4.1
T025,Ha Long Bay 25,Rp 1.662.438,4.3,4.3,4.3,4.7,3.9,4.3
T026,Nusa Penida Beach 26,Rp 3.228.352,4.7,3.6,4.2,4.8,4.9,3.6
T027,Gardens by The Bay 27,Rp 2.226.000,4.6,3.7,4.8,3.6,5.0,4.0
T028,Grand Canyon Trail 28,Rp 2.760.646,3.5,4.5,4.2,4.1,3.7,3.9
T029,Gili Islands 29,Rp 1.890.941,5.0,4.7,4.5,4.2,4.1,4.6
T030,Angkor Wat Temple 30,Rp 1.470.516,4.1,4.6,4.3,4.6,5.0,4.4
T031,Grand Canyon Trail 31,Rp 1.535.457,4.5,4.7,3.9,4.4,4.0,5.0
T032,Singapore Flyer 32,Rp 1.678.751,4.7,4.7,4.8,4.6,3.6,4.8
T033,Nusa Penida Beach 33,Rp 3.831.555,4.7,4.6,4.2,4.1,4.3,4.5
T034,Singapore Flyer 34,Rp 2.040.456,4.1,4.2,4.9,4.4,4.2,3.8
T035,Lake Toba Resort 35,Rp 2.720.028,4.2,3.9,4.1,4.3,3.7,3.8
T036,Jeju Island 36,Rp 4.988.594,4.5,3.6,3.9,3.8,4.5,4.0
T037,Mount Fuji Park 37,Rp 1.948.837,4.8,4.1,4.5,4.4,3.5,4.3
T038,Angkor Wat Temple 38,Rp 2.114.033,4.7,3.9,3.7,4.8,4.7,4.0
T039,Bali Swing 39,Rp 3.607.695,5.0,4.8,3.9,4.4,4.0,3.7
T040,Jeju Island 40,Rp 999.955,4.9,4.3,5.0,4.1,3.6,4.9
T041,Bromo View Point 41,Rp 2.082.577,4.8,3.8,3.7,3.6,3.7,4.6
T042,Phuket Beach 42,Rp 4.526.860,4.4,4.0,3.5,4.7,4.4,3.6
T043,Langkawi Sky Bridge 43,Rp 1.464.905,4.0,4.9,4.9,4.7,4.7,4.2
T044,Gardens by The Bay 44,Rp 2.316.967,3.7,4.8,4.8,3.8,4.3,4.2
T045,Bangkok Night Market 45,Rp 826.706,4.3,4.9,3.6,4.1,4.3,4.0
T046,Gili Islands 46,Rp 1.331.744,5.0,4.8,3.7,4.4,4.6,4.2
